               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 114,            0.027875,           0.0083262,            0.013934,              0.9558,             0.97647,             0.98859,             0.76738,            0.011979,           0.0043482,           0.0061717,           0.0077626,           0.0077626,           0.0077626
                 115,            0.022796,           0.0077858,           0.0091474,              0.8401,             0.97674,             0.98316,             0.70244,            0.016163,           0.0044125,           0.0056351,           0.0077428,           0.0077428,           0.0077428
                 116,            0.029349,           0.0089795,            0.010947,             0.97017,             0.97674,              0.9928,             0.80574,             0.01347,           0.0042567,           0.0054518,            0.007723,            0.007723,            0.007723
                 117,            0.021466,           0.0093585,           0.0087576,             0.97169,             0.97674,             0.99279,              0.8299,            0.012714,           0.0044031,           0.0052035,           0.0077032,           0.0077032,           0.0077032
                 118,              0.0267,           0.0084963,            0.010504,             0.97215,             0.97674,              0.9924,             0.75998,            0.014639,            0.004343,           0.0051275,           0.0076834,           0.0076834,           0.0076834
                 119,            0.026473,           0.0099257,            0.010375,             0.97172,             0.97674,              0.9924,             0.73559,            0.016186,           0.0045919,           0.0050157,           0.0076636,           0.0076636,           0.0076636
                 120,            0.026236,           0.0073159,           0.0081796,             0.97145,             0.97674,             0.99265,             0.82164,             0.01257,           0.0043482,           0.0050576,           0.0076438,           0.0076438,           0.0076438
                 121,            0.020772,           0.0078638,           0.0097423,              0.9714,             0.97674,             0.99221,             0.71177,            0.013568,           0.0046287,           0.0050134,            0.007624,            0.007624,            0.007624
                 122,            0.027435,            0.010106,            0.008438,             0.97157,             0.97674,             0.99159,             0.71834,            0.013738,           0.0045893,           0.0050306,           0.0076042,           0.0076042,           0.0076042
                 123,            0.021799,           0.0070886,           0.0071871,             0.95768,             0.97674,             0.99028,             0.74852,            0.016265,           0.0045416,           0.0050377,           0.0075844,           0.0075844,           0.0075844
                 124,            0.023851,           0.0076382,             0.00886,             0.97141,             0.97674,             0.99072,              0.7888,            0.014215,           0.0042249,           0.0050926,           0.0075646,           0.0075646,           0.0075646
                 125,            0.019991,           0.0075835,           0.0068169,             0.97126,             0.97674,             0.99119,             0.74533,            0.014147,           0.0043477,           0.0050936,           0.0075448,           0.0075448,           0.0075448
                 126,            0.029596,           0.0074301,           0.0089413,             0.97189,             0.97674,             0.98999,             0.74062,            0.017318,            0.004441,           0.0051241,            0.007525,            0.007525,            0.007525
                 127,             0.02351,           0.0077227,           0.0083203,             0.97063,             0.97674,              0.9886,             0.82151,            0.013942,           0.0043434,           0.0052665,           0.0075052,           0.0075052,           0.0075052
                 128,            0.024307,           0.0077032,           0.0093512,             0.97181,             0.97674,             0.98984,             0.75914,             0.01629,           0.0043861,           0.0053155,           0.0074854,           0.0074854,           0.0074854
                 129,            0.024948,             0.00877,           0.0082245,             0.97235,             0.97674,             0.99004,             0.78661,            0.014728,           0.0043886,           0.0053821,           0.0074656,           0.0074656,           0.0074656
                 130,            0.025548,            0.007471,            0.009401,             0.97273,             0.97674,             0.99004,             0.81533,            0.010764,           0.0041711,           0.0054472,           0.0074458,           0.0074458,           0.0074458
                 131,            0.018519,           0.0072763,           0.0082524,             0.96883,             0.96636,             0.99242,             0.67841,            0.017296,           0.0044595,           0.0056887,            0.007426,            0.007426,            0.007426
                 132,            0.024526,           0.0077535,           0.0098464,             0.97295,             0.97674,             0.99221,             0.77958,            0.011903,           0.0042409,           0.0053332,           0.0074062,           0.0074062,           0.0074062
                 133,            0.022884,           0.0090546,           0.0089063,             0.96116,             0.97674,             0.99042,             0.74223,            0.013247,           0.0042338,           0.0052251,           0.0073864,           0.0073864,           0.0073864
                 134,            0.026607,           0.0085442,           0.0082705,             0.97227,             0.97674,               0.991,             0.75832,            0.014084,           0.0041851,           0.0052035,           0.0073666,           0.0073666,           0.0073666
                 135,            0.019688,           0.0070561,            0.007233,             0.97158,             0.97674,             0.99205,             0.79751,            0.014349,           0.0041485,           0.0050596,           0.0073468,           0.0073468,           0.0073468
                 136,            0.024981,           0.0074215,            0.006751,             0.97181,             0.97674,             0.99259,             0.80404,            0.013227,           0.0041002,           0.0049977,            0.007327,            0.007327,            0.007327
                 137,            0.024441,           0.0087187,           0.0085757,             0.97029,             0.97674,             0.99155,             0.75308,            0.014922,           0.0043523,           0.0049053,           0.0073072,           0.0073072,           0.0073072
                 138,            0.027162,           0.0095318,           0.0091216,             0.96992,             0.97674,             0.99119,              0.7399,            0.014452,           0.0043314,           0.0049433,           0.0072874,           0.0072874,           0.0072874
                 139,             0.02087,           0.0075269,           0.0070705,             0.96993,             0.97674,             0.99175,             0.79614,            0.013008,           0.0041272,            0.004894,           0.0072676,           0.0072676,           0.0072676
                 140,            0.023793,           0.0066512,           0.0066784,             0.97019,             0.97674,             0.99214,              0.7133,            0.014063,           0.0041669,           0.0049146,           0.0072478,           0.0072478,           0.0072478
                 141,            0.020557,           0.0094603,            0.007584,             0.97329,             0.97674,             0.99242,             0.79425,            0.013283,           0.0041798,           0.0050585,            0.007228,            0.007228,            0.007228
                 142,            0.024371,           0.0080433,           0.0085119,             0.97249,             0.97674,             0.99242,             0.71752,            0.013264,           0.0041921,               0.005,           0.0072082,           0.0072082,           0.0072082
                 143,            0.022645,           0.0088459,           0.0075838,             0.97265,             0.97674,             0.99283,             0.73476,            0.016004,           0.0044306,           0.0050722,           0.0071884,           0.0071884,           0.0071884
                 144,            0.029534,           0.0096517,           0.0099774,             0.97268,             0.97674,             0.99283,             0.76147,            0.011288,           0.0043315,           0.0050557,           0.0071686,           0.0071686,           0.0071686
                 145,            0.021813,           0.0073659,            0.008129,             0.97299,             0.97674,             0.99246,             0.81048,            0.012391,           0.0041819,           0.0051281,           0.0071488,           0.0071488,           0.0071488
                 146,            0.023167,           0.0092241,           0.0086419,             0.97312,             0.97674,             0.99265,             0.71373,            0.014714,           0.0041495,            0.005145,            0.007129,            0.007129,            0.007129
                 147,            0.020831,           0.0071198,            0.013157,             0.97349,             0.97674,             0.99271,             0.76208,            0.015135,           0.0042364,           0.0053203,           0.0071092,           0.0071092,           0.0071092
                 148,            0.026408,           0.0078768,            0.011434,              0.9713,             0.97674,             0.99136,             0.78122,            0.012451,           0.0040537,           0.0055855,           0.0070894,           0.0070894,           0.0070894
                 149,            0.017955,           0.0066085,           0.0080804,             0.96957,             0.97502,             0.99097,             0.83483,             0.01445,           0.0042475,           0.0058131,           0.0070696,           0.0070696,           0.0070696
                 150,            0.027124,           0.0079192,            0.010791,             0.96672,             0.97107,             0.98829,             0.71796,             0.01431,           0.0041876,           0.0058045,           0.0070498,           0.0070498,           0.0070498
                 151,            0.021713,           0.0078034,           0.0074769,             0.97158,             0.97627,             0.98967,             0.66682,             0.01346,           0.0043683,           0.0056289,             0.00703,             0.00703,             0.00703
                 152,            0.029272,              0.0092,            0.015188,             0.97205,             0.97674,              0.9893,              0.7942,            0.013343,           0.0041555,           0.0055859,           0.0070102,           0.0070102,           0.0070102
                 153,            0.022055,           0.0083422,           0.0084771,              0.9601,             0.97674,             0.98837,             0.70133,            0.017163,           0.0042736,           0.0057283,           0.0069904,           0.0069904,           0.0069904
                 154,            0.025236,           0.0075977,            0.014784,             0.96753,             0.97674,             0.98977,             0.77743,            0.010983,           0.0039604,           0.0059941,           0.0069706,           0.0069706,           0.0069706
                 155,            0.021145,           0.0094938,            0.010714,             0.95358,              0.9732,              0.9914,             0.67656,            0.014167,            0.004227,           0.0063334,           0.0069508,           0.0069508,           0.0069508
                 156,            0.027812,           0.0087896,           0.0081238,             0.93284,              0.9751,             0.99117,             0.78713,            0.011841,           0.0040849,           0.0065833,            0.006931,            0.006931,            0.006931
